DATE CREATED
2020-11-19T11:37:38+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 8

UOM DEFINITIONS
Degrees Celsius

STATION,Lizard Island
LATITUDE,-14.68752
STATION,145.4635

BLEACH THRESHOLDS
SUMMER-BEGINNING,TEMPERATURE,THRESHOLD-DAYS,ACTUAL-DAYS
1998-11-01T00:00:00,29.7,17.0,0
1998-11-01T00:00:00,29.8,13.0,0
1998-11-01T00:00:00,29.9,10.0,0
1998-11-01T00:00:00,30.0,7.0,0
1998-11-01T00:00:00,30.1,6.0,0
1998-11-01T00:00:00,30.2,4.0,0
1998-11-01T00:00:00,30.3,2.0,0
1998-11-01T00:00:00,30.4,0.0,0
1999-11-01T00:00:00,29.7,17.0,0
1999-11-01T00:00:00,29.8,13.0,0
1999-11-01T00:00:00,29.9,10.0,0
1999-11-01T00:00:00,30.0,7.0,0
1999-11-01T00:00:00,30.1,6.0,0
1999-11-01T00:00:00,30.2,4.0,0
1999-11-01T00:00:00,30.3,2.0,0
1999-11-01T00:00:00,30.4,0.0,0
2000-11-01T00:00:00,29.7,17.0,0
2000-11-01T00:00:00,29.8,13.0,0
2000-11-01T00:00:00,29.9,10.0,0
2000-11-01T00:00:00,30.0,7.0,0
2000-11-01T00:00:00,30.1,6.0,0
2000-11-01T00:00:00,30.2,4.0,0
2000-11-01T00:00:00,30.3,2.0,0
2000-11-01T00:00:00,30.4,0.0,0
2001-11-01T00:00:00,29.7,17.0,0
2001-11-01T00:00:00,29.8,13.0,0
2001-11-01T00:00:00,29.9,10.0,0
2001-11-01T00:00:00,30.0,7.0,0
2001-11-01T00:00:00,30.1,6.0,0
2001-11-01T00:00:00,30.2,4.0,0
2001-11-01T00:00:00,30.3,2.0,0
2001-11-01T00:00:00,30.4,0.0,0
2002-11-01T00:00:00,29.7,17.0,0
2002-11-01T00:00:00,29.8,13.0,0
2002-11-01T00:00:00,29.9,10.0,0
2002-11-01T00:00:00,30.0,7.0,0
2002-11-01T00:00:00,30.1,6.0,0
2002-11-01T00:00:00,30.2,4.0,0
2002-11-01T00:00:00,30.3,2.0,0
2002-11-01T00:00:00,30.4,0.0,0
2003-11-01T00:00:00,29.7,17.0,0
2003-11-01T00:00:00,29.8,13.0,0
2003-11-01T00:00:00,29.9,10.0,0
2003-11-01T00:00:00,30.0,7.0,0
2003-11-01T00:00:00,30.1,6.0,0
2003-11-01T00:00:00,30.2,4.0,0
2003-11-01T00:00:00,30.3,2.0,0
2003-11-01T00:00:00,30.4,0.0,0
2004-11-01T00:00:00,29.7,17.0,0
2004-11-01T00:00:00,29.8,13.0,0
2004-11-01T00:00:00,29.9,10.0,0
2004-11-01T00:00:00,30.0,7.0,0
2004-11-01T00:00:00,30.1,6.0,0
2004-11-01T00:00:00,30.2,4.0,0
2004-11-01T00:00:00,30.3,2.0,0
2004-11-01T00:00:00,30.4,0.0,0
2005-11-01T00:00:00,29.7,17.0,0
2005-11-01T00:00:00,29.8,13.0,0
2005-11-01T00:00:00,29.9,10.0,0
2005-11-01T00:00:00,30.0,7.0,0
2005-11-01T00:00:00,30.1,6.0,0
