DATE CREATED
2020-11-19T11:40:20+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
Seabird SBE39-IM with Pressure 6519

UOM DEFINITIONS
Degrees Celsius

STATION,Thursday Island
LATITUDE,-10.555291
STATION,142.253283

BLEACH THRESHOLDS
SUMMER-BEGINNING,TEMPERATURE,THRESHOLD-DAYS,ACTUAL-DAYS
2002-11-01T00:00:00,31.3,1.0,0
2002-11-01T00:00:00,31.4,0.0,0
2002-11-01T00:00:00,31.5,0.0,0
2003-11-01T00:00:00,31.0,7.0,0
2003-11-01T00:00:00,31.1,4.5,0
2003-11-01T00:00:00,31.2,2.5,0
2003-11-01T00:00:00,31.3,1.0,0
2003-11-01T00:00:00,31.4,0.0,0
2003-11-01T00:00:00,31.5,0.0,0
2004-11-01T00:00:00,31.0,7.0,0
2004-11-01T00:00:00,31.1,4.5,0
2004-11-01T00:00:00,31.2,2.5,0
2004-11-01T00:00:00,31.3,1.0,0
2004-11-01T00:00:00,31.4,0.0,0
2004-11-01T00:00:00,31.5,0.0,0
2005-11-01T00:00:00,31.0,7.0,0
2005-11-01T00:00:00,31.1,4.5,0
2005-11-01T00:00:00,31.2,2.5,0
2005-11-01T00:00:00,31.3,1.0,0
2005-11-01T00:00:00,31.4,0.0,0
2005-11-01T00:00:00,31.5,0.0,0
2006-11-01T00:00:00,31.0,7.0,0
2006-11-01T00:00:00,31.1,4.5,0
2006-11-01T00:00:00,31.2,2.5,0
2006-11-01T00:00:00,31.3,1.0,0
2006-11-01T00:00:00,31.4,0.0,0
2006-11-01T00:00:00,31.5,0.0,0
2007-11-01T00:00:00,31.0,7.0,0
2007-11-01T00:00:00,31.1,4.5,0
2007-11-01T00:00:00,31.2,2.5,0
2007-11-01T00:00:00,31.3,1.0,0
2007-11-01T00:00:00,31.4,0.0,0
2007-11-01T00:00:00,31.5,0.0,0
2008-11-01T00:00:00,31.0,7.0,0
2008-11-01T00:00:00,31.1,4.5,0
2008-11-01T00:00:00,31.2,2.5,0
2008-11-01T00:00:00,31.3,1.0,0
2008-11-01T00:00:00,31.4,0.0,0
2008-11-01T00:00:00,31.5,0.0,0
2009-11-01T00:00:00,31.0,7.0,0
2009-11-01T00:00:00,31.1,4.5,0
2009-11-01T00:00:00,31.2,2.5,0
2009-11-01T00:00:00,31.3,1.0,0
2009-11-01T00:00:00,31.4,0.0,0
2009-11-01T00:00:00,31.5,0.0,0
2010-11-01T00:00:00,31.0,7.0,0
2010-11-01T00:00:00,31.1,4.5,0
2010-11-01T00:00:00,31.2,2.5,0
2010-11-01T00:00:00,31.3,1.0,0
2010-11-01T00:00:00,31.4,0.0,0
2010-11-01T00:00:00,31.5,0.0,0
2011-11-01T00:00:00,31.0,7.0,0
2011-11-01T00:00:00,31.1,4.5,0
2011-11-01T00:00:00,31.2,2.5,0
2011-11-01T00:00:00,31.3,1.0,0
2011-11-01T00:00:00,31.4,0.0,0
2011-11-01T00:00:00,31.5,0.0,0
2012-11-01T00:00:00,31.0,7.0,0
2012-11-01T00:00:00,31.1,4.5,0
2012-11-01T00:00:00,31.2,2.5,0
2012-11-01T00:00:00,31.3,1.0,0
2012-11-01T00:00:00,31.4,0.0,0
2012-11-01T00:00:00,31.5,0.0,0
2013-11-01T00:00:00,31.0,7.0,0
2013-11-01T00:00:00,31.1,4.5,0
2013-11-01T00:00:00,31.2,2.5,0
2013-11-01T00:00:00,31.3,1.0,0
2013-11-01T00:00:00,31.4,0.0,0
2013-11-01T00:00:00,31.5,0.0,0
2014-11-01T00:00:00,31.0,7.0,0
2014-11-01T00:00:00,31.1,4.5,0
2014-11-01T00:00:00,31.2,2.5,0
2014-11-01T00:00:00,31.3,1.0,0
2014-11-01T00:00:00,31.4,0.0,0
2014-11-01T00:00:00,31.5,0.0,0
2015-11-01T00:00:00,31.0,7.0,16
2015-11-01T00:00:00,31.1,4.5,15
2015-11-01T00:00:00,31.2,2.5,14
2015-11-01T00:00:00,31.3,1.0,12
2015-11-01T00:00:00,31.4,0.0,10
2015-11-01T00:00:00,31.5,0.0,7
2016-11-01T00:00:00,31.0,7.0,0
2016-11-01T00:00:00,31.1,4.5,0
2016-11-01T00:00:00,31.2,2.5,0
2016-11-01T00:00:00,31.3,1.0,0
2016-11-01T00:00:00,31.4,0.0,0
2016-11-01T00:00:00,31.5,0.0,0
2017-11-01T00:00:00,31.0,7.0,0
2017-11-01T00:00:00,31.1,4.5,0
2017-11-01T00:00:00,31.2,2.5,0
2017-11-01T00:00:00,31.3,1.0,0
2017-11-01T00:00:00,31.4,0.0,0
2017-11-01T00:00:00,31.5,0.0,0
2018-11-01T00:00:00,31.0,7.0,3
2018-11-01T00:00:00,31.1,4.5,1
2018-11-01T00:00:00,31.2,2.5,0
2018-11-01T00:00:00,31.3,1.0,0
2018-11-01T00:00:00,31.4,0.0,0
2018-11-01T00:00:00,31.5,0.0,0
2019-11-01T00:00:00,31.0,7.0,4
2019-11-01T00:00:00,31.1,4.5,1
2019-11-01T00:00:00,31.2,2.5,0
2019-11-01T00:00:00,31.3,1.0,0
2019-11-01T00:00:00,31.4,0.0,0
2019-11-01T00:00:00,31.5,0.0,0
